Date,Close,Open,High,Low,Volume,Change
2020-09-18,888.88,889.47,892.39,878.78,1770000000.0,0.0042
2020-09-21,866.99,889.94,892.34,859.4,1970000000.0,-0.0246
2020-09-22,842.72,867.72,867.89,838.13,1970000000.0,-0.027999999999999997
2020-09-23,843.45,855.57,856.14,821.89,2250000000.0,0.0009
2020-09-24,806.95,825.74,833.04,804.28,2200000000.0,-0.0433
2020-09-25,808.28,817.95,820.74,799.53,2210000000.0,0.0016
2020-09-28,835.91,820.72,836.15,819.86,1940000000.0,0.0342
2020-09-29,848.15,844.69,848.59,839.68,2080000000.0,0.0146
2020-10-05,858.39,848.67,858.82,843.06,1680000000.0,0.0121
2020-10-06,862.58,863.74,866.67,855.65,1980000000.0,0.0049
2020-10-07,869.66,856.7,869.69,856.66,2009999999.9999998,0.008199999999999999
2020-10-08,871.62,875.12,875.59,867.63,1990000000.0,0.0023
2020-10-12,873.5,875.25,875.25,868.01,2009999999.9999998,0.0022
2020-10-13,871.92,878.15,878.15,865.95,2280000000.0,-0.0018
2020-10-14,861.48,873.04,875.02,859.88,2370000000.0,-0.012
2020-10-15,844.44,861.37,861.37,833.55,2240000000.0,-0.019799999999999998
2020-10-16,833.84,845.63,849.2,822.58,2280000000.0,-0.0126
2020-10-19,822.25,836.83,838.63,821.5,1700000000.0,-0.0139
2020-10-20,824.65,816.16,825.96,803.24,1660000000.0,0.0029
2020-10-21,830.67,827.35,830.95,819.66,1490000000.0,0.0073
2020-10-22,812.7,826.71,826.71,812.7,1730000000.0,-0.0216
2020-10-23,807.98,817.7,817.7,804.75,1610000000.0,-0.0058
2020-10-26,778.02,808.06,808.06,776.7,1630000000.0,-0.0371
2020-10-27,783.73,771.84,794.04,766.96,2060000000.0,0.0073
2020-10-28,806.2,784.88,806.2,784.88,2049999999.9999998,0.0287
2020-10-29,813.93,791.02,814.16,791.02,1940000000.0,0.0096
2020-10-30,792.65,814.16,814.59,791.3,1880000000.0,-0.026099999999999998
2020-11-02,802.95,796.46,805.92,789.85,1540000000.0,0.013000000000000001
2020-11-03,818.46,810.01,821.28,810.01,1670000000.0,0.019299999999999998
2020-11-04,826.97,826.04,828.89,814.76,1800000000.0,0.0104
2020-11-05,844.8,833.37,845.81,831.78,1660000000.0,0.0216
2020-11-06,836.78,849.18,849.39,832.27,1920000000.0,-0.0095
2020-11-09,851.21,845.81,851.21,845.17,1740000000.0,0.0172
2020-11-10,840.79,844.22,844.22,835.27,1820000000.0,-0.012199999999999999
2020-11-11,839.9,840.89,842.76,829.53,2280000000.0,-0.0011
2020-11-12,840.08,844.64,846.87,835.95,2069999999.9999998,0.0002
2020-11-13,839.14,837.28,839.54,826.17,1880000000.0,-0.0011
2020-11-16,847.33,843.49,849.8,841.6,1620000000.0,0.0098
2020-11-17,839.47,846.55,846.55,836.0,1790000000.0,-0.009300000000000001
2020-11-18,851.74,842.55,852.27,840.43,2330000000.0,0.0146
2020-11-19,859.94,851.68,860.99,849.72,2250000000.0,0.0096
2020-11-20,870.18,863.07,870.78,861.29,2150000000.0,0.011899999999999999
2020-11-23,873.29,872.22,875.26,868.6,2120000000.0,0.0036
2020-11-24,872.1,876.65,876.89,868.89,3190000000.0,-0.0014000000000000002
2020-11-25,865.12,877.35,878.76,855.28,2490000000.0,-0.008
2020-11-26,874.53,868.6,875.26,861.05,1920000000.0,0.0109
2020-11-27,885.56,876.37,886.2,875.45,1830000000.0,0.0126
2020-11-30,886.11,890.65,891.53,885.65,1740000000.0,0.0006
2020-12-01,891.29,889.53,892.22,883.24,2130000000.0,0.0058
2020-12-02,899.34,894.94,899.87,891.61,1890000000.0,0.009000000000000001
2020-12-03,907.61,901.61,907.72,900.09,2360000000.0,0.0092
2020-12-04,913.76,909.99,914.27,908.24,2170000000.0,0.0068000000000000005
2020-12-07,926.88,914.15,927.35,910.36,2240000000.0,0.0144
2020-12-08,906.84,927.69,933.14,906.31,2600000000.0,-0.0216
2020-12-09,913.81,908.05,917.21,904.45,2700000000.0,0.0077
2020-12-10,921.7,913.02,922.13,905.76,2670000000.0,0.0086
2020-12-11,928.44,925.3,929.23,923.39,1910000000.0,0.0073
2020-12-14,929.54,930.78,935.9,924.52,1610000000.0,0.0012
2020-12-15,931.27,930.73,934.3,921.27,2100000000.0,0.0019
2020-12-16,939.65,932.41,941.45,932.41,2000000000.0,0.009000000000000001
2020-12-17,944.04,938.88,948.43,938.88,2650000000.0,0.004699999999999999
2020-12-18,947.24,945.81,948.59,942.46,2109999999.9999998,0.0034000000000000002
2020-12-21,953.58,948.64,954.34,940.98,1930000000.0,0.0067
2020-12-22,928.73,953.48,953.48,928.51,1860000000.0,-0.026099999999999998
2020-12-23,923.17,932.25,938.91,918.44,1920000000.0,-0.006
2020-12-24,928.68,924.34,933.39,920.53,1720000000.0,0.006
2020-12-28,927.0,930.07,937.76,923.96,1640000000.0,-0.0018
2020-12-29,957.41,928.58,957.48,928.58,1510000000.0,0.032799999999999996
2020-12-30,968.42,957.38,971.04,955.38,1640000000.0,0.0115
2021-01-04,977.62,968.86,977.62,960.52,1700000000.0,0.0095
2021-01-05,985.76,976.43,985.76,965.53,1810000000.0,0.0083
2021-01-06,981.39,987.25,990.88,977.37,1980000000.0,-0.0044
2021-01-07,988.86,983.28,993.91,982.27,2260000000.0,0.0076
2021-01-08,987.79,990.7,995.22,978.12,2560000000.0,-0.0011
2021-01-11,976.63,988.38,993.2,953.36,2200000000.0,-0.0113
2021-01-12,973.72,977.14,982.46,956.72,1740000000.0,-0.003
2021-01-13,979.13,974.14,982.66,972.1,1640000000.0,0.005600000000000001
2021-01-14,980.29,979.1,980.29,973.63,1740000000.0,0.0012
2021-01-15,964.44,981.72,982.31,963.09,1840000000.0,-0.016200000000000003
2021-01-18,944.67,963.18,967.05,940.11,2040000000.0,-0.020499999999999997
2021-01-19,957.75,945.33,962.14,936.93,2109999999.9999998,0.0138
2021-01-20,977.66,959.52,978.88,959.52,2440000000.0,0.0208
2021-01-21,981.4,979.82,984.98,975.62,2000000000.0,0.0038
2021-01-22,979.98,982.2,984.67,975.05,2290000000.0,-0.0014000000000000002
2021-01-25,999.3,981.05,999.64,981.05,1850000000.0,0.0197
2021-01-26,994.0,1000.0,1007.52,989.03,2650000000.0,-0.0053
2021-01-27,985.92,996.42,1000.75,984.37,2860000000.0,-0.008100000000000001
2021-01-28,961.23,980.7,980.7,957.17,1950000000.0,-0.025
2021-01-29,928.73,963.58,970.95,918.68,2190000000.0,-0.0338
2021-02-01,956.92,927.92,957.26,918.92,1550000000.0,0.0304
2021-02-02,963.81,958.85,972.35,953.72,1960000000.0,0.0072
2021-02-03,970.69,965.99,970.85,958.47,1910000000.0,0.0070999999999999995
2021-02-04,964.58,970.93,970.95,958.05,2160000000.0,-0.0063
2021-02-05,967.42,965.61,970.6,961.26,1990000000.0,0.0029
2021-02-08,960.78,966.94,968.03,956.93,2130000000.0,-0.0069
2021-02-09,957.85,961.31,966.22,957.69,3200000000.0,-0.003
2021-02-10,964.31,958.45,964.66,951.21,2810000000.0,0.0067
2021-02-15,981.97,965.83,982.78,965.83,3030000000.0,0.0183
2021-02-16,977.74,982.81,987.89,974.3,2990000000.0,-0.0043
2021-02-17,979.77,977.93,979.9,970.55,5070000000.0,0.0021
2021-02-18,967.42,980.01,981.83,967.42,4410000000.0,-0.0126
2021-02-19,965.11,967.65,968.92,944.74,4390000000.0,-0.0024
2021-02-22,954.29,965.55,969.96,953.48,2730000000.0,-0.011200000000000002
2021-02-23,936.6,952.23,952.23,934.35,3390000000.0,-0.018500000000000003
2021-02-24,906.31,936.8,944.71,906.31,3620000000.0,-0.0323
2021-02-25,936.21,910.15,936.94,910.15,2450000000.0,0.033
2021-02-26,913.94,930.54,930.54,904.18,2640000000.0,-0.023799999999999998
2021-03-02,923.17,919.17,936.61,914.49,2960000000.0,0.0101
2021-03-03,930.8,922.52,930.86,920.07,3390000000.0,0.0083
2021-03-04,926.2,929.09,929.09,916.75,2450000000.0,-0.0049
2021-03-05,923.48,923.32,924.42,907.41,2170000000.0,-0.0029
2021-03-08,904.77,925.19,931.14,904.62,3320000000.0,-0.0203
2021-03-09,896.36,904.04,904.04,877.73,3510000000.0,-0.009300000000000001
2021-03-10,890.07,900.19,911.04,890.07,2880000000.0,-0.006999999999999999
2021-03-11,908.01,890.97,908.01,890.97,2420000000.0,0.0202
2021-03-12,925.49,910.41,925.9,910.41,2860000000.0,0.019299999999999998
2021-03-15,926.9,926.04,929.69,921.71,2340000000.0,0.0015
2021-03-16,940.65,928.17,941.0,928.17,3370000000.0,0.0148
2021-03-17,943.78,941.2,943.78,935.11,2760000000.0,0.0033
2021-03-18,949.83,945.11,953.1,945.11,2060000000.0,0.0064
2021-03-19,952.11,946.61,953.06,935.27,1660000000.0,0.0024
2021-03-22,955.38,953.04,957.52,948.77,1780000000.0,0.0034000000000000002
2021-03-23,946.31,956.1,962.65,945.97,2040000000.0,-0.0095
2021-03-24,953.82,946.23,954.2,939.19,1730000000.0,0.0079
2021-03-25,954.99,953.26,955.24,948.34,1750000000.0,0.0012
2021-03-26,956.7,955.68,959.46,951.13,2130000000.0,0.0018
2021-03-29,954.1,956.88,961.73,952.22,2390000000.0,-0.0027
2021-03-30,958.06,954.54,959.88,954.54,2029999999.9999998,0.0042
2021-03-31,956.17,958.38,961.02,954.17,1850000000.0,-0.002
2021-04-01,965.78,956.87,965.81,954.93,2009999999.9999998,0.0101
2021-04-02,970.09,967.56,971.17,966.34,2330000000.0,0.0045000000000000005
2021-04-05,969.77,971.04,973.57,966.52,1930000000.0,-0.0003
2021-04-06,968.63,971.11,974.14,964.62,2410000000.0,-0.0012
2021-04-07,973.22,969.3,974.11,968.35,2040000000.0,0.004699999999999999
2021-04-08,982.02,974.14,982.04,969.53,1910000000.0,0.009000000000000001
2021-04-09,989.39,983.4,991.17,983.4,1590000000.0,0.0075
2021-04-12,1000.65,992.31,1000.78,990.32,1910000000.0,0.011399999999999999
2021-04-13,1010.37,1001.0,1010.8,1001.0,3660000000.0,0.0097
2021-04-14,1014.42,1011.35,1016.06,1009.34,3180000000.0,0.004
2021-04-15,1013.9,1014.34,1014.72,1008.8,2620000000.0,-0.0005
2021-04-16,1021.62,1015.71,1022.36,1014.4,2069999999.9999998,0.0076
